#,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance,Season
1,Juventus FC,Serie A,€180.04m,19,€153.95m,21,€-26.08m,2001/2002
2,Milan AC,Serie A,€145.13m,30,€33.50m,30,€-111.63m,2001/2002
3,SS Lazio,Serie A,€139.25m,15,€119.20m,18,€-20.05m,2001/2002
4,FC Internazionale,Serie A,€112.19m,33,€55.13m,36,€-57.06m,2001/2002
5,AC Parma,Serie A,€99.84m,31,€147.52m,31,€47.68m,2001/2002
6,FC Barcelona,LaLiga,€95.00m,10,€37.31m,7,€-57.69m,2001/2002
7,Manchester United,Premier League,€85.85m,21,€43.60m,16,€-42.25m,2001/2002
8,Real Madrid,LaLiga,€77.50m,10,-,13,€-77.50m,2001/2002
9,AS Roma,Serie A,€50.93m,24,€58.63m,26,€7.70m,2001/2002
10,Fulham FC,Premier League,€50.60m,13,€1.03m,14,€-49.58m,2001/2002
11,Chelsea FC,Premier League,€49.70m,10,€14.32m,16,€-35.38m,2001/2002
12,Borussia Dortmund,Bundesliga,€49.60m,9,€19.15m,8,€-30.45m,2001/2002
13,Leeds United,Premier League,€46.30m,11,€4.58m,14,€-41.73m,2001/2002
14,Valencia CF,LaLiga,€34.80m,14,€53.80m,12,€19.00m,2001/2002
15,Olympique Lyon,Ligue 1,€34.50m,8,€28.78m,9,€-5.72m,2001/2002
16,Blackburn Rovers,Premier League,€33.01m,21,€10.68m,25,€-22.34m,2001/2002
17,Arsenal FC,Premier League,€32.69m,21,€12.00m,15,€-20.69m,2001/2002
18,Newcastle United,Premier League,€31.59m,18,€888k,21,€-30.70m,2001/2002
19,Liverpool FC,Premier League,€31.56m,8,€28.65m,10,€-2.91m,2001/2002
20,Sunderland AFC,Premier League,€29.76m,15,€12.89m,15,€-16.87m,2001/2002
21,AS Monaco,Ligue 1,€28.71m,21,€38.86m,17,€10.15m,2001/2002
22,Atlético de Madrid,LaLiga2,€28.30m,18,€20.30m,14,€-8.00m,2001/2002
23,Tottenham Hotspur,Premier League,€28.05m,10,€9.75m,9,€-18.30m,2001/2002
24,Olympique Marseille,Ligue 1,€26.30m,37,€19.05m,34,€-7.25m,2001/2002
25,Aston Villa,Premier League,€26.10m,15,€16.88m,16,€-9.23m,2001/2002
26,Real Zaragoza,LaLiga,€23.65m,8,-,7,€-23.65m,2001/2002
27,Middlesbrough FC,Premier League,€22.70m,24,€5.27m,30,€-17.43m,2001/2002
28,SL Benfica,Liga Portugal,€22.09m,32,€21.28m,28,€-806k,2001/2002
29,West Ham United,Premier League,€22.06m,11,€18.13m,18,€-3.94m,2001/2002
30,Stade Rennais FC,Ligue 1,€20.62m,15,€7.83m,11,€-12.79m,2001/2002
31,Bayern Munich,Bundesliga,€20.54m,6,€9.35m,4,€-11.19m,2001/2002
32,Manchester City,First Division,€20.51m,17,€7.05m,15,€-13.46m,2001/2002
33,Ipswich Town,Premier League,€20.23m,22,€13.50m,14,€-6.73m,2001/2002
34,Deportivo de La Coruña,LaLiga,€19.80m,13,€6.50m,12,€-13.30m,2001/2002
35,Paris Saint-Germain,Ligue 1,€19.50m,20,€17.43m,22,€-2.08m,2001/2002
36,Southampton FC,Premier League,€19.35m,17,€14.45m,16,€-4.90m,2001/2002
